,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
67,Benguela,75,AO,1584037982,83,-12.58,13.41,80.59999999999997,2.1
68,Bathsheba,20,BB,1584037907,58,13.22,-59.52,84.19999999999999,7.2
69,Saint-Philippe,40,RE,1584037984,94,-21.36,55.77,80.59999999999997,2.1
70,Pangody,100,RU,1584037925,99,65.85,74.49,33.799999999999955,6.96
71,Pisco,59,PE,1584037986,30,-13.7,-76.22,76.99999999999994,5.7
72,Pouébo,81,NC,1584037988,89,-20.4,164.57,72.68,1.57
73,Chateaubelair,75,VC,1584037989,66,13.28,-61.25,84.19999999999999,9.3
74,Lompoc,1,US,1584037990,77,34.64,-120.46,71.00600000000003,1.73
75,Esqueda,100,MX,1584037991,93,30.72,-109.58,55.76000000000005,1.39
76,Craig,1,US,1584037931,100,40.52,-107.55,48.19999999999993,1.17
77,Port Blair,2,IN,1584037904,64,11.67,92.75,80.06,1.78
78,Cape Town,13,ZA,1584037102,82,-33.93,18.42,66.9919999999999,2.1
79,Jamestown,90,US,1584037732,70,42.1,-79.24,53.00600000000003,3.1
80,Korla,99,CN,1584037881,94,41.76,86.15,33.99799999999999,2.45
81,Tagusao,33,PH,1584037998,88,9.19,117.81,75.19999999999999,1.67
82,Omboué,81,GA,1584037999,84,-1.57,9.26,78.80000000000001,1.85
83,Santa Fe,24,AR,1584037970,25,-31.63,-60.7,100.76000000000005,2.68
84,Ferrol,75,ES,1584038001,71,43.48,-8.24,53.00600000000003,4.1
85,Narrabri,0,AU,1584038002,87,-30.32,149.78,60.00799999999998,2.6
86,Langsa,27,ID,1584037879,93,4.47,97.97,75.56,1.04
87,Carnarvon,40,AU,1584038004,78,-24.87,113.63,78.80000000000001,6.2
88,Matara,0,LK,1584037995,81,5.95,80.54,75.56,3.56
89,Alyangula,40,AU,1584038007,100,-13.85,136.42,76.99999999999994,2.51
90,Coquimbo,20,CL,1584038008,72,-29.95,-71.34,67.99999999999994,6.2
91,Ponta do Sol,20,PT,1584038009,59,32.67,-17.1,66.19999999999999,6.2
92,Tiksi,95,RU,1584038010,71,71.69,128.87,-17.319999999999993,0.46
93,Miguel Hidalgo,20,MX,1584037802,22,19.42,-99.2,76.99999999999994,3.6
94,Magaria,55,NE,1584038013,11,13.0,8.91,75.56,4.68
95,Kloulklubed,75,PW,1584038015,78,7.04,134.26,80.59999999999997,3.6
96,Aba,40,NG,1584038016,74,5.11,7.37,85.99999999999994,3.1
97,Bol'shoye Murashkino,84,RU,1584038017,84,55.78,44.78,37.76000000000005,5.26
98,Kapaa,40,US,1584038018,83,22.08,-159.32,71.59999999999997,3.1
99,Tasiilaq,75,GL,1584038019,66,65.61,-37.64,12.199999999999932,8.2
100,Morant Bay,20,JM,1584038020,62,17.88,-76.41,84.19999999999999,3.1
101,Southbridge,90,US,1584038021,39,42.08,-72.03,51.00799999999998,2.72
102,Newport,40,GB,1584038023,75,51.59,-3.0,46.99400000000003,9.3
103,Hellín,100,ES,1584038024,37,38.51,-1.7,71.99600000000004,3.1
104,Fort Nelson,20,CA,1584038025,44,58.81,-122.7,-0.39999999999997726,5.7
105,Suzdal,100,RU,1584038026,69,56.43,40.44,40.639999999999986,5.27
106,Billings Metropolitan Area,20,US,1584037962,86,45.78,-108.5,35.99599999999998,4.1
107,Bredasdorp,21,ZA,1584038021,88,-34.53,20.04,66.19999999999999,2.1
108,Sola,74,VU,1584038029,74,-13.88,167.55,85.4600000000001,5.26
109,Nueve de Julio,0,AR,1584038030,44,-35.44,-60.88,93.00200000000001,4.36
110,Linxia Chengguanzhen,53,CN,1584038032,77,35.6,103.21,20.839999999999975,1.54
111,Laas,91,IT,1584038033,80,46.62,10.7,46.99400000000003,6.2
112,Raychikhinsk,100,RU,1584038034,86,49.78,129.41,1.2200000000000273,7.18
113,Rocha,100,UY,1584038035,53,-34.48,-54.33,85.63999999999993,4.8
114,Tuktoyaktuk,5,CA,1584038036,73,69.45,-133.04,-32.80000000000001,3.1
115,Jinchang,82,CN,1584038038,71,38.5,102.17,21.739999999999952,4.42
116,Flic en Flac,75,MU,1584038039,94,-20.27,57.36,78.99799999999999,3.1
117,Greenville,1,US,1584037902,47,35.61,-77.37,76.99999999999994,1.5
118,Geraldton,50,AU,1584038042,73,-28.77,114.6,71.59999999999997,5.7
119,Saint Paul Harbor,1,US,1584037759,49,57.79,-152.41,26.599999999999966,8.2
120,George Town,20,MY,1584037628,83,5.41,100.34,85.99999999999994,2.1
121,Ambilobe,100,MG,1584037942,92,-13.2,49.05,78.26000000000005,1.07
122,Konosha,100,RU,1584038046,96,60.97,40.26,33.44,5.59
123,Dumas,1,US,1584038047,22,35.87,-101.97,73.99400000000009,3.79
124,Oddur,100,SO,1584038050,28,4.12,43.89,81.13999999999993,5.09
125,San Policarpo,39,PH,1584038051,77,12.18,125.51,79.69999999999999,4.2
126,Saint-Leu,40,RE,1584038052,94,-21.15,55.28,80.59999999999997,2.1
127,Tual,98,ID,1584038053,81,-5.67,132.75,82.57999999999998,3.08
128,Broken Hill,0,AU,1584037916,49,-31.95,141.43,73.39999999999992,5.1
129,Samfya,100,ZM,1584038055,94,-11.36,29.56,67.09999999999997,1.39
130,Cap Malheureux,75,MU,1584037871,94,-19.98,57.61,78.99799999999999,3.1
131,Jobner,20,IN,1584038058,22,26.97,75.38,67.99999999999994,3.6
132,Nikolskoye,97,RU,1584037885,86,59.7,30.79,39.00200000000001,3.0
133,Te Anau,38,NZ,1584037869,86,-45.42,167.72,46.94,0.65
134,Hithadhoo,0,MV,1584038062,71,-0.6,73.08,83.47999999999996,5.28
135,Diego de Almagro,0,CL,1584038063,20,-26.37,-70.05,87.26000000000005,7.1
136,Thakurdwara,40,IN,1584038066,54,29.2,78.85,66.73999999999995,4.04
137,Lac du Bonnet,100,CA,1584038067,66,50.25,-96.06,33.00799999999998,4.92
138,Kokologo,48,BF,1584038068,5,12.19,-1.89,98.59999999999997,2.1
139,Zhongshu,32,CN,1584038069,48,24.52,103.77,59.89999999999992,2.77
140,Mehamn,90,NO,1584037817,92,71.04,27.85,24.799999999999955,10.3
141,Pevek,100,RU,1584037921,95,69.7,170.31,14.720000000000027,3.22
142,Mocuba,5,MZ,1584037848,97,-16.84,36.99,73.94,1.33
143,Esperance,90,AU,1584038073,88,-33.87,121.9,62.599999999999966,2.6
144,San Quintín,86,MX,1584038075,81,30.48,-115.95,63.13999999999993,3.49
145,Jaltenango,0,MX,1584038076,33,15.87,-92.72,90.32,0.86
146,Lowicz,75,PL,1584038077,81,52.11,19.95,48.99199999999996,5.7
147,Lumberton,1,US,1584038005,41,34.62,-79.01,80.00600000000003,1.5
148,Tacuatí,76,PY,1584038079,28,-23.45,-56.58,98.06,2.05
149,Avarua,68,CK,1584037885,94,-21.21,-159.78,76.99999999999994,2.6
150,Dikson,38,RU,1584037880,80,73.51,80.55,-10.120000000000005,11.3
151,Broome,90,US,1584038082,61,42.25,-75.83,53.99600000000004,5.7
152,Uyuni,29,BO,1584038084,36,-20.46,-66.83,62.78000000000003,0.89
153,San Jose,20,US,1584037958,72,37.34,-121.89,69.00799999999998,2.1
154,Hilo,90,US,1584038034,69,19.73,-155.09,73.39999999999992,3.1
155,Lima,29,PE,1584037830,65,-12.04,-77.03,82.39999999999992,3.6
156,Makakilo City,90,US,1584037926,88,21.35,-158.09,73.39999999999992,0.77
157,Kavaratti,0,IN,1584038084,71,10.57,72.64,83.12000000000006,4.46
158,Alofi,100,NU,1584038041,94,-19.06,-169.92,76.99999999999994,1.5
159,Mount Isa,0,AU,1584037841,83,-20.73,139.5,71.59999999999997,2.6
160,Gizo Government Station,100,SB,1584038093,87,-8.1,156.84,76.63999999999993,4.19
161,Galle,0,LK,1584038095,75,6.04,80.22,81.13999999999993,7.18
162,Severo-Kuril'sk,96,RU,1584038088,76,50.68,156.12,18.499999999999943,10.76
163,Baillif,75,GP,1584038098,61,16.02,-61.75,82.39999999999992,8.7
164,Viedma,75,AR,1584038099,12,-40.81,-63.0,93.73999999999995,5.76
165,Porto Belo,20,BR,1584037969,78,-27.16,-48.55,91.00399999999996,7.7
166,Midrand,40,ZA,1584038102,56,-25.96,28.14,71.59999999999997,7.2
167,Huron,90,US,1584038103,58,41.15,-82.55,57.00200000000001,5.1
168,Çarşamba,40,TR,1584038104,81,41.2,36.72,49.99999999999994,1.5
169,Hong Kong,40,HK,1584037837,88,22.29,114.16,71.59999999999997,4.6
170,Turukhansk,65,RU,1584037899,86,65.82,87.98,-2.5600000000000023,2.82
171,Marzuq,5,YE,1584038107,64,14.4,46.47,60.80000000000001,2.18
172,Port Hedland,90,AU,1584038109,79,-20.32,118.57,84.19999999999999,4.1
173,Hasaki,75,JP,1584038110,87,35.73,140.83,48.19999999999993,1.5
174,Dickinson,75,US,1584038075,61,29.46,-95.05,82.99400000000009,4.1
175,Najrān,15,SA,1584038094,27,17.49,44.13,69.80000000000001,2.1
176,Birin,0,NP,1584038113,71,26.89,88.07,52.52000000000004,2.12
177,Khatanga,100,RU,1584038114,85,71.97,102.5,-21.819999999999993,6.77
178,Torbay,90,CA,1584037974,92,47.67,-52.73,28.994000000000028,3.6
179,Comodoro Rivadavia,75,AR,1584037908,52,-45.87,-67.5,67.99999999999994,5.1
180,Auki,100,SB,1584038119,81,-8.77,160.7,80.06,10.74
181,Kununurra,0,AU,1584037941,88,-15.77,128.73,75.19999999999999,0.88
182,Kasama,100,ZM,1584038121,96,-10.21,31.18,66.38000000000005,1.53
183,Kamensk-Ural'skiy,1,RU,1584038122,84,56.42,61.93,32.360000000000014,6.85
184,Klaksvík,67,FO,1584037882,64,62.23,-6.59,35.599999999999966,5.7
185,Chokurdakh,20,RU,1584037887,95,70.63,147.92,-29.379999999999995,2.28
186,Ambon City,73,ID,1584038126,80,-3.7,128.18,82.21999999999997,2.88
187,Lorengau,99,PG,1584037906,72,-2.02,147.27,84.19999999999999,3.93
188,Katsuura,75,JP,1584038129,81,35.13,140.3,49.99999999999994,3.1
189,Itarema,75,BR,1584038130,88,-2.92,-39.92,82.39999999999992,2.6
190,Bengkulu,100,ID,1584038131,91,-3.8,102.27,75.02000000000004,1.6
191,Ndago,100,TZ,1584038132,92,-4.6,34.35,65.66000000000003,2.18
192,Yulara,0,AU,1584038134,25,-25.24,130.99,76.99999999999994,3.6
193,Cidreira,97,BR,1584038020,81,-30.18,-50.21,76.63999999999993,5.08
194,Olafsvik,77,IS,1584038136,73,64.89,-23.71,26.779999999999973,7.09
195,Río Gallegos,75,AR,1584037905,44,-51.62,-69.22,60.80000000000001,8.7
196,Lebu,60,CL,1584038138,50,-37.62,-73.65,73.57999999999998,3.74
197,Ribeira Grande,40,PT,1584038139,68,38.52,-28.7,64.39999999999992,3.1
198,Leh,100,IN,1584038140,58,34.17,77.58,17.960000000000036,1.27
199,Guerrero Negro,100,MX,1584038143,88,27.98,-114.06,64.04000000000002,1.98
200,Prince Rupert,90,CA,1584038144,72,54.32,-130.32,33.799999999999955,2.1
201,Qabaqçöl,75,AZ,1584038145,34,41.72,46.26,66.19999999999999,4.1
202,El Copé,40,PA,1584038146,36,8.62,-80.6,93.19999999999999,5.7
203,Ternuvate,12,UA,1584038147,61,47.83,36.13,48.19999999999993,5.0
204,Smoky Lake,100,CA,1584038148,89,54.12,-112.47,19.579999999999984,3.81
205,Sattur,24,IN,1584038149,74,9.37,77.93,80.59999999999997,2.6
206,Tadine,57,NC,1584038151,84,-21.55,167.88,75.19999999999999,1.14
207,Brawley,68,US,1584037908,88,32.98,-115.53,64.39999999999992,1.96
208,Anito,34,PH,1584038153,73,12.45,125.29,81.32,6.11
209,Tucumã,100,BR,1584038154,87,-0.18,-50.05,79.52000000000004,2.86
210,Pangnirtung,40,CA,1584038155,62,66.15,-65.71,-13.0,1.0
211,Jacareacanga,55,BR,1584038156,51,-6.22,-57.75,92.30000000000001,0.77
212,Saldanha,0,ZA,1584037629,64,-33.01,17.94,69.80000000000001,3.6
213,Fukuechō,89,JP,1584038159,81,32.69,128.84,51.799999999999955,1.5
214,Bilibino,100,RU,1584037925,95,68.05,166.44,0.13999999999998636,2.35
215,Belaya Gora,55,RU,1584038161,99,68.53,146.42,-30.640000000000043,1.74
216,Hermanus,3,ZA,1584038009,92,-34.42,19.23,62.00600000000003,1.6
217,Tezu,10,IN,1584038163,58,27.92,96.17,64.76000000000005,1.63
218,Dunedin,4,NZ,1584038164,82,-45.87,170.5,53.99600000000004,2.11
219,Rawson,67,AR,1584038165,56,-43.3,-65.1,66.92000000000002,5.03
220,Itaituba,97,BR,1584038109,57,-4.28,-55.98,89.06,2.25
221,Christiana,81,ZA,1584038168,80,-27.91,25.16,63.49999999999994,8.96
222,Kavieng,100,PG,1584038027,73,-2.57,150.8,84.02000000000004,3.63
223,Samarai,100,PG,1584038170,88,-10.62,150.67,76.28000000000003,2.54
224,Cabo San Lucas,75,MX,1584038161,51,22.89,-109.91,84.9919999999999,4.6
225,Hobyo,83,SO,1584038172,71,5.35,48.53,80.78000000000003,9.15
226,Gamba,78,GA,1584038174,85,-2.65,10.0,80.9600000000001,2.14
227,Tuatapere,42,NZ,1584037916,92,-46.13,167.68,48.00200000000001,0.89
228,Rehoboth,34,NA,1584038176,26,-23.32,17.08,75.92000000000002,8.34
229,Caála,100,AO,1584038177,90,-12.85,15.56,65.47999999999996,1.84
230,Suez,98,EG,1584038043,68,29.97,32.53,60.62000000000006,7.71
231,Chimbote,50,PE,1584038180,48,-9.09,-78.58,84.19999999999999,5.74
232,Lüderitz,0,NA,1584037910,64,-26.65,15.16,71.59999999999997,8.2
233,Pandrup,65,DK,1584038182,85,57.22,9.68,39.99199999999996,2.24
234,Coari,82,BR,1584038138,41,-4.08,-63.14,97.52000000000004,1.34
235,Santa Isabel Rio Negro,31,BR,1584038184,46,-0.41,-65.02,94.82,1.25
236,Jaunjelgava,100,LV,1584038185,86,56.62,25.08,39.99199999999996,6.71
237,Mahébourg,75,MU,1584038187,94,-20.41,57.7,78.99799999999999,3.1
238,Sturgeon Bay,90,US,1584038188,93,44.83,-87.38,42.00799999999998,9.3
239,Bambanglipuro,98,ID,1584038189,93,-7.95,110.28,75.56,2.5
240,Zeya,0,RU,1584038187,84,53.75,127.27,-17.140000000000043,3.58
241,Mokshan,33,RU,1584038191,58,53.44,44.61,44.99599999999998,5.61
242,Xining,71,CN,1584038078,73,36.62,101.77,20.299999999999955,2.74
243,Bucyrus,90,US,1584037943,71,40.81,-82.98,60.00799999999998,5.7
244,Dovolnoye,96,RU,1584038195,95,54.5,79.67,27.680000000000007,5.58
245,Karratha,15,AU,1584038196,80,-20.74,116.85,82.76000000000005,5.51
246,Vila,87,PT,1584038024,81,42.03,-8.16,62.99600000000004,8.7
247,Kirakira,100,SB,1584037899,90,-10.45,161.92,77.54000000000002,6.13
248,Kamenka,48,RU,1584038199,87,51.32,42.77,39.99199999999996,2.24
249,Airai,75,TL,1584037628,96,-8.93,125.41,66.92000000000002,0.89
250,Shingū,50,JP,1584038203,71,33.73,135.98,51.079999999999984,3.6
251,Voyvozh,100,RU,1584038205,98,62.89,54.96,36.31999999999999,4.82
252,Avera,40,US,1584038206,69,33.19,-82.53,78.99799999999999,2.6
253,Novodugino,96,RU,1584037985,77,55.63,34.28,42.079999999999984,8.76
254,Aktau,78,KZ,1584038185,76,43.65,51.2,48.19999999999993,3.0
255,Petropavlovsk-Kamchatskiy,75,RU,1584038210,53,53.05,158.65,26.599999999999966,7.0
256,São Filipe,0,CV,1584038211,58,14.9,-24.5,77.54000000000002,4.93
257,Aklavik,5,CA,1584038076,68,68.22,-135.01,-20.19999999999999,2.1
258,Melbourne,40,US,1584038214,61,28.08,-80.61,82.39999999999992,4.1
259,Kandrian,100,PG,1584038215,84,-6.22,149.55,77.89999999999992,6.22
260,Cherskiy,100,RU,1584038216,93,68.75,161.3,-4.899999999999977,2.66
261,Kuching,20,MY,1584038062,94,1.55,110.33,78.80000000000001,1.5
262,Harper,98,LR,1584037952,90,4.38,-7.72,80.59999999999997,1.91
263,Ouidah,40,BJ,1584038220,89,6.36,2.09,84.19999999999999,5.1
264,Baykit,57,RU,1584038221,93,61.67,96.37,7.339999999999975,0.8
265,Tupik,45,RU,1584038224,87,54.43,119.93,-10.840000000000032,1.65
266,Inhambane,0,MZ,1584038056,81,-23.86,35.38,78.07999999999998,5.42
267,Shelburne,75,CA,1584038226,52,44.08,-80.2,46.99400000000003,6.7
268,Roald,75,NO,1584038228,94,62.58,6.13,35.599999999999966,12.3
269,Barabai,65,ID,1584038229,94,-2.58,115.38,74.66000000000003,0.53
270,Revda,40,RU,1584038232,60,56.8,59.93,39.19999999999993,3.0
271,Hervey Bay,9,AU,1584038113,82,-25.3,152.85,67.99999999999994,4.1
272,Namuac,0,PH,1584038236,90,18.61,121.17,70.52000000000004,1.28
273,Amelia,40,IT,1584038237,93,42.55,12.42,58.99999999999994,2.6
274,El Salvador,0,SV,1584038238,40,13.83,-88.92,96.80000000000001,4.1
275,Waitara,30,NZ,1584038239,96,-38.92,174.25,42.00799999999998,2.39
276,Franklin Park,90,US,1584038241,71,41.94,-87.87,53.99600000000004,5.1
277,Namtsy,24,RU,1584038242,66,62.72,129.67,-32.80000000000001,1.0
278,Constantine,89,DZ,1584038046,51,36.37,6.61,62.599999999999966,1.5
279,Sunrise Manor,1,US,1584038244,55,36.21,-115.07,67.99999999999994,4.1
280,Kasongo-Lunda,55,CD,1584038245,95,-6.47,16.82,70.69999999999999,1.22
281,Antalaha,100,MG,1584038246,80,-14.9,50.28,82.39999999999992,9.82
282,Laguna,1,US,1584037978,55,38.42,-121.42,69.00799999999998,3.6
283,Tshikapa,98,CD,1584038249,87,-6.42,20.8,72.13999999999993,0.75
284,Riyadh,99,SA,1584038250,20,24.69,46.72,73.39999999999992,2.6
285,Paramonga,40,PE,1584038251,80,-10.67,-77.83,73.76000000000005,4.63
286,Iralaya,40,HN,1584038253,66,15.0,-83.23,84.19999999999999,4.1
287,Bethel,90,US,1584038254,70,41.37,-73.41,48.99199999999996,3.1
288,Berlevåg,90,NO,1584038255,92,70.86,29.09,22.999999999999943,13.4
289,Dawson Creek,75,CA,1584038257,71,55.77,-120.24,6.7999999999999545,5.7
290,Union,90,US,1584038086,75,40.63,-74.27,51.00799999999998,3.09
291,Beyneu,100,KZ,1584038259,39,45.32,55.2,51.98000000000002,1.97
292,Salò,75,IT,1584038260,82,45.61,10.53,57.19999999999999,2.6
293,Guarapuava,58,BR,1584038261,33,-25.4,-51.46,85.28000000000003,2.37
294,Basco,14,PH,1584038182,85,20.45,121.97,78.44,8.08
295,Codrington,90,AU,1584038092,64,-38.27,141.97,68.36000000000007,8.1
296,Tilichiki,100,RU,1584038265,86,60.47,166.1,26.06000000000006,11.48
297,Barra Patuca,23,HN,1584038267,71,15.8,-84.28,78.44,5.67
298,Ust-Tsilma,100,RU,1584038268,99,65.44,52.15,35.23999999999995,3.1
299,Vardø,90,NO,1584038031,92,70.37,31.11,30.199999999999932,5.1
300,Acton Vale,1,CA,1584038271,63,45.65,-72.57,42.00799999999998,5.7
301,Semīrom,27,IR,1584038272,37,31.42,51.57,43.160000000000025,0.53
302,Cayenne,40,GF,1584038273,52,4.93,-52.33,87.80000000000001,4.1
303,Margate,20,GB,1584038108,65,51.38,1.39,46.99400000000003,8.2
304,Padang,76,ID,1584038216,96,-0.95,100.35,68.71999999999997,1.53
305,Sinnamary,28,GF,1584038121,71,5.38,-52.95,79.88000000000005,5.62
306,Dromolaxia,40,CY,1584038278,68,34.88,33.59,67.99999999999994,9.8
307,Katrineholm,40,SE,1584038279,72,59.0,16.21,39.19999999999993,11.3
308,Saint-Pierre,40,RE,1584038280,94,-21.34,55.48,80.59999999999997,2.1
309,San Patricio,40,MX,1584038281,79,19.22,-104.7,85.99999999999994,4.1
310,Kawalu,99,ID,1584038282,92,-7.38,108.21,71.42000000000002,0.48
311,Ust-Maya,98,RU,1584038284,99,60.42,134.53,-23.439999999999998,1.18
312,San Miguel de Tucumán,40,AR,1584038285,52,-26.82,-65.22,89.59999999999997,4.1
313,Christchurch,0,NZ,1584038132,87,-43.53,172.63,55.994000000000085,1.5
314,Ayan,97,RU,1584038288,71,56.45,138.17,-9.579999999999984,4.69
315,Flinders,7,AU,1584038289,93,-34.58,150.86,58.99999999999994,4.67
316,Xichang,0,CN,1584038290,76,27.9,102.26,40.27999999999997,1.59
317,Araouane,10,ML,1584038101,5,18.9,-3.53,82.57999999999998,2.27
318,Touros,75,BR,1584038293,83,-5.2,-35.46,80.59999999999997,3.1
319,Khandyga,99,RU,1584038294,99,62.67,135.6,-23.079999999999984,1.08
320,Calvià,100,ES,1584038295,36,39.57,2.51,64.39999999999992,1.0
321,Along,10,IN,1584038296,88,28.17,94.77,56.12000000000006,1.85
322,Sitka,40,US,1584038043,80,57.05,-135.33,30.199999999999932,2.1
323,Kaniama,100,CD,1584038298,93,-7.57,24.18,67.82,0.85
324,Nanortalik,0,GL,1584038299,76,60.14,-45.24,25.339999999999975,5.26
325,Los Llanos de Aridane,75,ES,1584038176,72,28.66,-17.92,71.99600000000004,5.7
326,Seoul,75,KR,1584037782,65,37.57,126.98,44.599999999999966,2.1
327,Aku,75,NG,1584038303,56,6.71,7.32,93.19999999999999,2.6
328,Ritchie,100,ZA,1584038304,93,-29.04,24.6,60.80000000000001,2.1
329,Port Jervis,90,US,1584038161,57,41.38,-74.69,49.99999999999994,2.6
330,Aden,52,YE,1584038205,56,12.78,45.04,76.99999999999994,8.05
331,Tocopilla,10,CL,1584038307,35,-22.09,-70.2,78.44,4.59
332,Gunnedah,0,AU,1584038308,87,-30.98,150.25,53.599999999999966,4.1
333,General Roca,96,AR,1584038310,27,-39.03,-67.58,85.99999999999994,2.6
334,Mackay,90,AU,1584038311,88,-21.15,149.2,75.00200000000001,6.7
335,Evensk,100,RU,1584038312,84,61.95,159.23,6.7999999999999545,7.11
336,Poum,86,NC,1584038108,82,-20.23,164.02,81.86000000000007,6.13
337,Inírida,70,CO,1584038314,44,3.87,-67.92,96.44,0.86
338,Bertoua,96,CM,1584038129,29,4.58,13.68,86.18,1.32
